Date,Open,High,Low,Close,Volume
2018-11-28,52.682,54.4457,51.9592,54.3923,46209328
2018-11-29,53.9808,54.8088,53.9046,54.5314,31122876
2018-11-30,54.5836,55.2821,53.9634,55.2821,59883098
2018-12-03,56.4036,56.545,55.3857,55.6164,57737528
2018-12-04,55.4485,55.5108,52.8474,52.9316,45795112
2018-12-06,52.0612,53.7761,51.9357,53.7092,47608462
2018-12-07,53.4178,54.0555,51.7808,52.1399,42836947
2018-12-10,51.9587,52.7887,51.4634,52.4688,33774915
2018-12-11,53.1543,53.3267,52.3153,52.8907,33974235
2018-12-12,53.6595,54.3893,53.405,53.4926,29064440
2018-12-13,53.5892,54.2245,53.0572,53.4831,25078644
2018-12-14,52.8095,53.3925,52.279,52.3956,36490784
2018-12-17,52.1614,52.9271,50.6479,51.0972,50112024
2018-12-18,51.5133,52.7932,51.3379,51.982,43798580
2018-12-19,52.1754,53.5912,50.7874,51.586,58475955
2018-12-20,51.1147,52.1829,50.211,50.9942,53867971
2018-12-21,51.4156,51.6961,48.8824,49.3835,105029166
2018-12-24,49.0383,50.4232,48.7065,49.0557,36490905
2018-12-26,49.7192,52.2331,49.4529,52.2032,46485144
2018-12-27,51.1247,52.4768,50.1682,52.4548,46162860
2018-12-28,52.7837,53.0193,51.9118,52.1449,34491623
2018-12-31,52.7005,52.9575,51.4654,52.0592,33230107
2019-01-02,51.1745,52.8479,51.0788,52.5435,31983424
2019-01-03,52.3438,53.1204,50.9338,51.0882,42111246
2019-01-04,51.9397,53.8049,51.6558,53.7087,46195418
2019-01-07,53.8533,53.9394,52.9401,53.6017,47625363
2019-01-08,54.1039,54.47,53.2246,54.0725,35541455
2019-01-09,54.203,54.3849,53.5245,53.8871,27096111
2019-01-10,53.5529,53.7954,53.0417,53.7467,26693637
2019-01-11,53.3018,53.4747,52.6307,53.0312,30976647
2019-01-14,52.4768,52.7313,52.2381,52.3856,28592998
2019-01-15,52.7095,54.217,52.5316,54.1293,37653043
2019-01-16,54.3032,54.9189,54.204,54.2787,38419591
2019-01-17,54.203,54.8363,53.9673,54.7575,24986270
2019-01-18,55.2293,55.6981,54.7654,55.165,45054115
2019-01-22,54.6021,54.7501,53.3511,53.7367,39775549
2019-01-23,54.1467,54.4502,53.1856,54.0246,25286093
2019-01-24,53.9301,54.2035,53.3078,54.0043,29224519
2019-01-25,54.5139,54.9688,54.3928,54.8766,23360136
2019-01-28,54.3067,54.471,53.5364,53.7979,29440619
2019-01-29,53.8568,54.0406,53.1084,53.3098,19776392
2019-01-30,53.6734,54.7774,53.6375,54.7012,29559709
